Item,difficulty,discrimination,content_area
1,44,25,a
2,7,30,a
3,25,4,a
4,96,22,a
5,53,14,a
6,31,22,a
7,9,13,a
8,84,12,a
9,44,16,a
10,70,20,b
11,45,20,b
12,64,30,b
13,83,23,b
14,89,29,b
15,96,14,b
16,6,20,b
17,45,20,b
18,40,7,b
19,59,26,b
20,98,1,c
21,1,26,c
22,86,12,c
23,25,27,c
24,58,18,c
25,2,12,c
26,62,22,c
27,68,13,c
28,54,30,c
29,67,20,c
30,44,5,c
31,17,27,d
32,72,2,d
33,4,20,d
34,58,7,d
35,79,28,d
36,41,28,d
37,22,28,d
38,56,9,d
39,27,30,d
40,85,17,d
41,13,21,e
42,34,12,e
43,62,20,e
44,52,8,e
45,60,18,e
46,92,16,e
47,64,26,e
48,56,5,e
49,8,20,e
50,84,26,e
51,88,30,f
52,90,12,f
53,40,22,f
54,63,14,f
55,19,25,f
56,78,27,f
57,78,23,f
58,23,14,f
59,53,25,f
60,47,24,f
61,85,27,g
62,87,10,g
63,96,24,g
64,34,10,g
65,68,6,g
66,13,2,g
67,24,16,g
68,2,20,g
69,46,6,g
70,94,16,g
71,76,28,h
72,100,10,h
73,17,1,h
74,23,13,h
75,9,17,h
76,40,2,h
77,55,25,h
78,25,28,h
79,61,6,h
80,69,8,h
81,41,20,j
82,57,25,j
83,53,18,j
84,63,30,j
85,68,25,j
86,74,9,j
87,89,23,j
88,13,22,j
89,2,4,j
90,50,22,j
91,50,1,k
92,79,1,k
93,84,30,k
94,15,4,k
95,86,17,k
96,16,21,k
97,76,10,k
98,6,14,k
99,89,19,k
100,96,13,k
